"Blackhawk Technical College,"329 St Lawrence Ave Janesville WI","53545","@blackhawk.edu",42.6828,-89.0186
"Bladen Community College,"51 Twisted Hickory Rd Dublin NC","28337","@bladen.cc",34.6567,-78.7267
"Blinn College,"154 E Alamo St Brenham TX","77833","@blinn.edu",30.1667,-96.397499
"Bloomfield College","467 Franklin St Bloomfield New Jersey 07003","07003","@bloomfield.edu",40.8063,-74.1876
"Bloomsburg University of Pennsylvania","400 E Second St Bloomsburg Pennsylvania 17815","17815","@bloomu.edu",41.0154,-76.4354
*"Blue Mountain College","201 W Main St Blue Mountain Mississippi 38610-9509","38610","@bluecc.edu",34.6791,-88.9433
*"Blue Mountain Community College,"237 S Main St Pendleton OR","97801","@bluecc.edu",45.672199,-118.787498
"Bluefield College","3000 College Dr Bluefield Virginia 24605","24605","@bluefield.edu",37.2475,-81.3159
"Bluefield State College","219 Rock St Bluefield West Virginia 24701","24701","@bluefieldstate.edu",37.275,-81.2185
"Bluffton University","1 University Drive Bluffton Ohio 45817-2104","45817","@bluffton.edu",40.8954,-83.8989
"BMSI Institute,"7341 W 81st St Overland Park KS","66204","@bmsi.edu",38.982201,-94.670601
